# Olympic and Paralympic Games
# scheduled editions with announced dates; 2032 Brisbane dates are not yet published
Milano-Cortina 2026 Winter Olympics Opening Ceremony,2026-02-06
Milano-Cortina 2026 Winter Olympics Closing Ceremony,2026-02-22
Milano-Cortina 2026 Winter Paralympics Opening Ceremony,2026-03-06
Los Angeles 2028 Summer Olympics Opening Ceremony,2028-07-14
Los Angeles 2028 Summer Olympics Closing Ceremony,2028-07-30
French Alps 2030 Winter Olympics Opening Ceremony,2030-02-01
French Alps 2030 Winter Olympics Closing Ceremony,2030-02-17
Athens 1896 Summer Olympics Opening,04/06,1896
