# generated by scripts/fetch-sports.ts from Wikidata (P571 inception / P1619 official opening)
# clubs with at least 25 Wikipedia sitelinks; day-precision dates only
Club Sport Emelec's Birthday,04/28,1929
Club Sporting Cristal's Birthday,12/13,1955
Club Universidad de Chile's Birthday,05/24,1927
Club Universitario de Deportes' Birthday,08/07,1924
Clube Atlético Mineiro's Birthday,03/25,1908
Clube de Regatas do Flamengo's Birthday,11/15,1895
Clube Desportivo das Aves' Birthday,11/12,1930
Cobreloa's Birthday,01/07,1977
Coventry City F.C.'s Birthday,08/13,1883
CR Vasco da Gama's Birthday,08/21,1898
Cruz Azul's Birthday,05/22,1927
Crystal Palace F.C.'s Birthday,09/10,1905
CS Sfaxien's Birthday,05/28,1912
CSM Politehnica Iași's Birthday,08/16,2010
Daejeon Hana Citizen FC's Birthday,03/12,1997
Dalkurd FF's Birthday,09/26,2004
Danubio F.C.'s Birthday,03/01,1932
De Graafschap's Birthday,02/01,1954
Defensa y Justicia's Birthday,03/20,1935
Degerfors IF's Birthday,01/13,1907
Deportes Tolima's Birthday,12/18,1954
Deportivo Alavés' Birthday,01/23,1921
Deportivo Cali's Birthday,11/23,1912
Deportivo de A Coruña's Birthday,03/02,1906
Deportivo Saprissa's Birthday,07/16,1935
Derby County F.C.'s Birthday,02/05,1884
Dijon FCO's Birthday,05/25,1998
Eintracht Frankfurt's Birthday,03/08,1899
Enosis Neon Paralimni FC's Birthday,02/20,1936
Ergotelis F.C.'s Birthday,08/07,1929
ES Troyes AC's Birthday,06/28,1986
Esbjerg fB's Birthday,07/23,1924
Esporte Clube Juventude's Birthday,06/29,1913
Estudiantes de La Plata's Birthday,08/04,1905
Étoile Sportive du Sahel's Birthday,05/11,1925
Everton de Viña del Mar's Birthday,06/24,1909
Excelsior Rotterdam's Birthday,07/23,1902
F.C. Hansa Rostock's Birthday,12/28,1965
Falkenbergs FF's Birthday,01/03,1928
FC Aarau's Birthday,05/26,1902
FC Andorra's Birthday,10/15,1942
FC Ararat Yerevan's Birthday,05/10,1935
FC Bayern Munich's Birthday,02/27,1900
FC Cincinnati's Birthday,08/12,2015
FC Den Bosch's Birthday,08/18,1965
FC Dinamo Moscow's Birthday,04/18,1923
FC Dordrecht's Birthday,08/16,1883
FC Eindhoven's Birthday,11/16,1909
FC Emmen's Birthday,08/21,1925
FC Energie Cottbus' Birthday,01/31,1966
FC Erzgebirge Aue's Birthday,03/04,1946
FC Flora Tallinn's Birthday,03/10,1990
FC Iberia 1999's Birthday,08/20,1999
FC Ingolstadt 04's Birthday,02/05,2004
FC Jazz's Birthday,09/22,1934
FC Kryvbas Kryvyi Rih's Birthday,04/18,1959
FC Lokomotiv 1929 Sofia's Birthday,09/02,1929
FC Lugano's Birthday,07/28,1908
FC Midtjylland's Birthday,07/01,1999
FC Pohang Steelers' Birthday,04/01,1973
FC Porto's Birthday,09/28,1893
FC Red Bull Salzburg's Birthday,09/13,1933
FC Seoul's Birthday,12/22,1983
FC Sheriff Tiraspol's Birthday,04/04,1997
FC St. Pauli's Birthday,05/15,1910
FC Twente's Birthday,07/01,1965
FC Urartu's Birthday,01/20,1992
FC UTA Arad's Birthday,04/18,1945
FC Utrecht's Birthday,07/01,1970
FC Volendam's Birthday,06/01,1977
FC Wacker Innsbruck's Birthday,06/21,2002
FC Wil 1900's Birthday,12/23,2005
FC Winterthur's Birthday,04/18,1896
FC Zenit Saint Petersburg's Birthday,05/25,1925
FCI Levadia Tallinn's Birthday,10/22,1998
Ferro Carril Oeste's Birthday,07/28,1904
Feyenoord Rotterdam's Birthday,07/19,1908
FK Apolonia's Birthday,06/17,1925
FK Austria Wien's Birthday,03/15,1911
FK Bodø/Glimt's Birthday,02/29,1916
FK Crvena zvezda's Birthday,03/04,1945
FK Haugesund's Birthday,10/28,1993
FK Partizan's Birthday,10/04,1945
FK Sarajevo's Birthday,10/24,1946
FK Sloboda Tuzla's Birthday,11/29,1919
FK Velež Mostar's Birthday,06/26,1922
FK Željezničar Sarajevo's Birthday,09/19,1921
Flamurtari Vlorë's Birthday,03/23,1923
Fluminense F.C.'s Birthday,07/21,1902
Fortuna Düsseldorf's Birthday,05/05,1895
Fortuna Sittard's Birthday,07/01,1968
Fredrikstad FK's Birthday,04/07,1903
Frosinone Calcio's Birthday,09/19,1928
G.D. Estoril Praia's Birthday,05/17,1939
GAIS's Birthday,03/11,1894
Gangwon FC's Birthday,12/18,2008
Gençlerbirliği S.K.'s Birthday,03/14,1923
Genoa CFC's Birthday,09/07,1893
GÍ Gøta's Birthday,10/29,1926
GIF Sundsvall's Birthday,08/25,1903
Gimcheon Sangmu FC's Birthday,02/23,2021
Gimnàstic de Tarragona's Birthday,03/01,1886
Glenavon F.C.'s Birthday,11/01,1889
Godoy Cruz Antonio Tomba's Birthday,06/01,1921
Goiás Esporte Clube's Birthday,04/06,1943
Górnik Zabrze's Birthday,12/14,1948
Grasshopper Club Zürich's Birthday,09/01,1886
Grazer AK's Birthday,08/18,1902
Grêmio FBPA's Birthday,09/15,1903
Guangzhou City F.C.'s Birthday,06/25,2011
Guarani Futebol Clube's Birthday,04/02,1911
Gwangju FC's Birthday,12/16,2010
Halmstads BK's Birthday,02/07,1914
Hamarkameratene's Birthday,08/10,1918
Hamburger SV's Birthday,09/29,1887
Hammarby Fotboll's Birthday,08/13,1915
Hannover 96's Birthday,04/12,1896
Helmond Sport's Birthday,07/27,1967
Helsingborgs IF's Birthday,06/04,1907
Heracles Almelo's Birthday,05/03,1903
HFC Haarlem's Birthday,10/01,1889
HNK Gorica's Birthday,07/16,2009
Holstein Kiel's Birthday,10/07,1900
Huddersfield Town A.F.C.'s Birthday,08/15,1908
IF Elfsborg's Birthday,06/26,1904
IFK Göteborg's Birthday,10/04,1904
IFK Mariehamn's Birthday,11/05,2007
IFK Norrköping's Birthday,05/29,1897
IK Start's Birthday,09/19,1905
Incheon United FC's Birthday,03/01,2004
Inter Miami CF's Birthday,01/29,2018
Inter Milan's Birthday,03/09,1908
Jeju SK FC's Birthday,12/17,1982
Jeonbuk Hyundai Motors FC's Birthday,12/12,1994
Jeonnam Dragons FC's Birthday,12/16,1994
Jönköpings Södra IF's Birthday,12/09,1922
Junior de Barranquilla's Birthday,08/07,1924
Juventus FC's Birthday,11/01,1897
K.S.C. Lokeren Oost-Vlaanderen's Birthday,01/22,1923
K.S.K. Beveren's Birthday,09/06,1935
K.V.C. Westerlo's Birthday,09/05,1933
KAA Gent's Birthday,11/26,1964
Kalmar FF's Birthday,04/01,1910
KF Besa Kavajë's Birthday,10/25,1925
KF Feronikeli's Birthday,04/08,1974
KF Skënderbeu's Birthday,04/15,1909
Kjøbenhavns Boldklub's Birthday,04/26,1876
Kocaelispor's Birthday,04/24,1966
Konyaspor's Birthday,06/22,1922
Kristiansund BK's Birthday,09/02,2003
KS Vllaznia Shkodër's Birthday,02/16,1919
Kuopion Palloseura's Birthday,03/16,1923
Landskrona BoIS's Birthday,02/07,1915
LASK Linz's Birthday,08/07,1899
Le Mans F.C.'s Birthday,06/12,1985
Levadiakos F.C.'s Birthday,07/20,1961
Lierse S.K.'s Birthday,03/06,1906
Liga Deportiva Universitaria de Quito's Birthday,01/11,1930
Lille OSC's Birthday,09/23,1944
Lillestrøm SK's Birthday,04/02,1917
Liverpool F.C.'s Birthday,06/03,1892
Liverpool F.C. (Montevideo)'s Birthday,02/15,1915
Luton Town F.C.'s Birthday,04/11,1885
Lyn 1896 FK's Birthday,03/03,1896
Málaga CF's Birthday,04/03,1904
Malmö FF's Birthday,02/24,1910
Manchester City F.C.'s Birthday,04/16,1894
Matsumoto Yamaga FC's Birthday,11/18,2004
MC Algiers' Birthday,08/07,1921
Melbourne City FC's Birthday,06/12,2009
Melbourne Victory FC's Birthday,11/01,2004
Mersin İdmanyurdu's Birthday,08/16,1925
Millonarios' Birthday,06/18,1946
Mjällby AIF's Birthday,04/01,1939
Mjøndalen IF Fotball's Birthday,08/22,1910
Molde FK's Birthday,06/19,1911
Mouloudia Club of Oran's Birthday,01/01,1917
MVV Maastricht's Birthday,04/02,1902
MYPA's Birthday,12/14,1947
Nea Salamis Famagusta FC's Birthday,03/07,1948
Neftchi Baku PFC's Birthday,03/18,1937
New York City FC's Birthday,05/21,2013
Newcastle United F.C.'s Birthday,12/09,1892
Newell's Old Boys' Birthday,11/03,1903
Nîmes Olympique's Birthday,04/10,1937
Niteroiense FC's Birthday,05/11,1913
NK Čelik Zenica's Birthday,06/16,1945
Norwich City F.C.'s Birthday,06/17,1902
O'Higgins F.C.'s Birthday,04/07,1955
Odds BK's Birthday,03/31,1894
Odense Boldklub's Birthday,07/12,1887
Olympiakos Nicosia FC's Birthday,03/04,1931
Olympique de Marseille's Birthday,08/31,1899
Örebro SK's Birthday,10/28,1908
Örgryte IS's Birthday,12/04,1887
Oriente Petrolero's Birthday,11/05,1955
Östers IF's Birthday,04/20,1930
Östersunds FK's Birthday,10/31,1996
P.A.S. Lamia 1964's Birthday,06/01,1964
Pafos FC's Birthday,06/10,2014
Panathinaikos F.C.'s Birthday,02/03,1908
Panetolikos F.C.'s Birthday,03/09,1926
Panionios F.C.'s Birthday,09/14,1890
Paris FC's Birthday,08/01,1969
Paris Saint-Germain FC's Birthday,08/12,1970
Partizani Tirana's Birthday,02/04,1946
Pas Tehran F.C.'s Birthday,07/08,1963
Pau Football Club's Birthday,05/19,1959
Persib Bandung's Birthday,01/05,1919
Persipura Jayapura's Birthday,05/01,1963
Perth Glory FC's Birthday,12/01,1995
PFC Beroe Stara Zagora's Birthday,05/06,1916
PFC Cherno More Varna's Birthday,02/18,1945
PFC CSKA Sofia's Birthday,05/05,1948
PFC Levski Sofia's Birthday,05/24,1914
PFC Lokomotiv Plovdiv's Birthday,07/26,1926
PFC Ludogorets 1945's Birthday,06/18,2001
PFC Slavia Sofia's Birthday,04/10,1913
PFC Sochi's Birthday,06/06,2018
Pogoń Szczecin's Birthday,04/21,1948
Polonia Warsaw's Birthday,11/19,1911
Portsmouth F.C.'s Birthday,04/05,1898
PSFC Chernomorets Burgas' Birthday,07/06,2005
PSV Eindhoven's Birthday,08/31,1913
Puebla F.C.'s Birthday,05/07,1944
Qadsia SC's Birthday,10/20,1960
Quilmes Atlético Club's Birthday,11/27,1887
R.A.E.C. Mons' Birthday,12/18,2002
R.S.C. Anderlecht's Birthday,05/27,1908
Racing Club's Birthday,03/25,1903
Racing Club de Ferrol's Birthday,10/05,1919
Racing de Santander's Birthday,02/23,1913
Racing FC Union Luxembourg's Birthday,05/12,2005
Raja Club Athletic's Birthday,03/20,1949
Rampla Juniors Football Club's Birthday,01/07,1914
Rayo Vallecano's Birthday,05/29,1924
RB Leipzig's Birthday,05/19,2009
RC Celta de Vigo's Birthday,08/23,1923
RCD Mallorca's Birthday,03/05,1916
Real Jaén's Birthday,08/13,1922
Real Madrid Club de Fútbol's Birthday,03/06,1902
Real Sociedad's Birthday,09/07,1909
Real Unión's Birthday,05/15,1915
Real Zaragoza's Birthday,03/18,1932
Rio Ave F.C.'s Birthday,01/18,1939
RKC Waalwijk's Birthday,08/26,1940
Roda JC Kerkrade's Birthday,06/27,1962
Rosenborg BK's Birthday,05/19,1917
Rotherham United F.C.'s Birthday,05/27,1925
Royal Charleroi S.C.'s Birthday,01/01,1904
Royal Excel Mouscron's Birthday,04/27,2010
Royal Excelsior Mouscron's Birthday,04/16,1932
Royale Union Saint-Gilloise's Birthday,11/01,1897
S.C. Beira-Mar's Birthday,01/01,1922
S.C. Internacional's Birthday,04/04,1909
S.L. Benfica's Birthday,02/28,1904
S.P. La Fiorita's Birthday,04/07,1967
S.V. Zulte Waregem's Birthday,07/01,2001
Samsunspor FC's Birthday,06/30,1965
San Lorenzo de Almagro's Birthday,04/01,1908
Sandefjord Fotball's Birthday,09/10,1998
Santos F.C.'s Birthday,04/14,1912
Sarpsborg 08 FF's Birthday,12/11,2003
SBV Vitesse's Birthday,05/14,1892
SC Cambuur's Birthday,06/19,1964
SC Heerenveen's Birthday,07/20,1920
SC Rheindorf Altach's Birthday,12/26,1929
Schalke 04's Birthday,05/04,1904
SD Compostela's Birthday,07/01,1928
Seongnam FC's Birthday,03/18,1989
Servette FC's Birthday,03/20,1890
Shanghai Port F.C.'s Birthday,12/25,2005
Sheffield F.C.'s Birthday,10/24,1857
Sheffield United F.C.'s Birthday,03/22,1889
Shuvalan FK's Birthday,04/10,2011
Sint-Truidense V.V.'s Birthday,02/23,1924
SK Brann's Birthday,09/26,1908
SK Rapid Wien's Birthday,01/08,1899
SK Slavia Prague's Birthday,11/02,1892
SK Sturm Graz's Birthday,05/01,1909
Skeid Fotball's Birthday,01/01,1915
Sogndal Fotball's Birthday,02/19,1926
Southampton F.C.'s Birthday,11/21,1885
Southend United F.C.'s Birthday,05/19,1906
Sparta Rotterdam's Birthday,04/01,1888
Sporting CP's Birthday,07/01,1906
Sporting de Gijón's Birthday,07/01,1905
SpVgg Greuther Fürth's Birthday,09/23,1903
SS Lazio's Birthday,01/09,1900
St. Louis City SC's Birthday,08/20,2019
Stabæk Fotball's Birthday,03/12,1995
Stade Lavallois' Birthday,07/17,1902
Stade Malherbe Caen's Birthday,10/15,1913
Stade Rennais F.C.'s Birthday,03/10,1901
Strømsgodset TF's Birthday,02/10,1907
Stuttgarter Kickers' Birthday,09/21,1899
Sutton United F.C.'s Birthday,03/05,1898
Suwon Samsung Bluewings FC's Birthday,12/15,1995
SV Austria Salzburg's Birthday,10/07,2005
SV Grödig's Birthday,03/20,1948
SV Mattersburg's Birthday,06/10,1922
SV Ried's Birthday,05/05,1912
SV Waldhof Mannheim's Birthday,04/11,1907
Talaba SC's Birthday,12/17,1969
Talleres de Córdoba's Birthday,10/12,1913
Tigres UANL's Birthday,03/07,1960
TOP Oss' Birthday,04/09,1928
Tottenham Hotspur F.C.'s Birthday,09/05,1882
Toulouse FC's Birthday,05/25,1970
Trelleborgs FF's Birthday,12/06,1926
Tromsø IL's Birthday,09/20,1920
UD Ibiza's Birthday,07/31,2015
UD Las Palmas' Birthday,08/22,1949
Ulsan HD FC's Birthday,12/06,1983
Unión de Santa Fe's Birthday,04/15,1907
USM Alger's Birthday,07/05,1937
Valencia CF's Birthday,03/18,1919
Vålerenga Fotball's Birthday,07/29,1913
Varese Calcio's Birthday,07/26,2019
Vasas FC's Birthday,03/16,1911
Venezia F.C.'s Birthday,12/14,1907
VfL Bochum's Birthday,04/14,1938
VfL Wolfsburg's Birthday,09/12,1945
VfR Aalen's Birthday,03/08,1921
Viking FK's Birthday,08/10,1899
Villarreal CF's Birthday,03/10,1923
Vitória S.C.'s Birthday,09/22,1922
VVV-Venlo's Birthday,02/07,1903
Wellington Phoenix FC's Birthday,03/19,2007
Western Sydney Wanderers FC's Birthday,04/04,2012
Western United FC's Birthday,12/13,2018
Willem II's Birthday,08/12,1896
Würzburger Kickers' Birthday,11/04,1907
Wydad Athletic Club's Birthday,05/08,1937
Yverdon-Sport FC's Birthday,10/14,1999
Zamalek SC's Birthday,01/05,1911
Zira FK's Birthday,07/28,2014
Zob Ahan F.C.'s Birthday,07/06,1969
