# generated by scripts/fetch-places.ts from Wikidata (P571 inception / P1619 official opening)
# day-precision dates only; dates before 1582 are as stated in the Julian calendar
# capped at the 150 most populous; 1665 further dated place(s) omitted
Saint-Leu-la-Forêt's Birthday,10/14,1915
Saint-Louis' Birthday,01/01,1953
Saint-Pierre-en-Faucigny's Birthday,01/01,1965
Segré-en-Anjou Bleu's Birthday,12/15,2016
Sens' Birthday,02/12,2008
Sèvremoine's Birthday,12/15,2015
Seynod's Birthday,01/01,1973
Souleuvre en Bocage's Birthday,01/01,2016
Tassin-la-Demi-Lune's Birthday,01/03,1881
Taverny's Birthday,10/14,1915
Tergnier's Birthday,01/01,1974
Téteghem-Coudekerque-Village's Birthday,01/01,2016
Thaon-les-Vosges' Birthday,01/01,2016
Theix-Noyalo's Birthday,01/01,2016
Thouars' Birthday,01/01,2019
Tsingoni's Birthday,03/31,2011
Ugine's Birthday,01/01,1971
Val de Briey's Birthday,01/01,2017
Valserhône's Birthday,01/01,2019
Varces-Allières-et-Risset's Birthday,01/01,1955
Verneuil d'Avre et d'Iton's Birthday,01/01,2017
Verrières-en-Anjou's Birthday,01/01,2016
Villeneuve-d'Ascq's Birthday,03/25,1970
Villeneuve-la-Garenne's Birthday,04/09,1927
Vire Normandie's Birthday,01/01,2016
Vire's Birthday,07/01,1972
Wissembourg's Birthday,01/01,1974
